Title,Price,Store,Condition
Used Ibanez 25TH  anniversary RG1XXV Atomic Pink Solid Body Electric Guitar,$899.99,"Greensboro, NC",Good
Used Yamaha CG172SF Natural Classical Acoustic Guitar,$249.99,"Nashville, TN",Excellent
Used Yamaha CG171SF Natural Classical Acoustic Guitar,$249.99,"Nashville, TN",Excellent
Used Gibson Les Paul Modern Candy Apple Red Metallic Solid Body Electric Guitar,"$5,069.99","Overland Park, KS",Great
Used Martin D-10E NATURAL Acoustic Electric Guitar,$649.99,"Goodlettsville, TN",Great
Used 2001 Fender American Standard Stratocaster Black Solid Body Electric Guitar,$999.99,"Lewisville, TX",Great
Used Martin SC10E Natural Acoustic Electric Guitar,$799.99,"Cherry Hill, NJ",Good
Used 2023 Charvel Super Stock SD1 San Dimas Silver Bengal Solid Body Electric Guitar,"$1,099.99","Nashville, TN",Excellent
Used 2022 Fender American Performer Telecaster Honey Burst Solid Body Electric Guitar,"$1,099.99","Nashville, TN",Excellent
Used 2021 Fender Acoustasonic Telecaster Natural Acoustic Electric Guitar,$599.99,"Nashville, TN",Excellent
Used Martin D41 Natural Acoustic Guitar,"$3,899.99","South Austin, TX",Excellent
Used Fender Artist Series Eric Clapton Stratocaster Black Solid Body Electric Guitar,"$1,489.99","South Austin, TX",Excellent
Used Schecter Guitar Research C1 Platinum Trans Blue Solid Body Electric Guitar,$439.99,"Southfield, MI",Great
Used Epiphone Les Paul Standard Left Handed Black Electric Guitar,$449.99,"Plano, TX",Great
Used Yamaha FG700S Natural Acoustic Guitar,$119.99,"North Attleboro, MA",Fair
Used Ivy IP 350 Trans Black Solid Body Electric Guitar,$115.99,"Myrtle Beach, SC",Great
Used Ibanez RG320 Trans Purple Solid Body Electric Guitar,$299.99,"Myrtle Beach, SC",Great
Used Epiphone PROPHECY EXPLORER YELLOW BURST Solid Body Electric Guitar,$699.99,"Myrtle Beach, SC",Great
Used 2023 Eart EGLP-620 Crimson Burst Solid Body Electric Guitar,$399.99,"Round Rock, TX",Great
Used 1997 Gibson SG Special Ebony Solid Body Electric Guitar,$999.99,"Towson, MD",Fair
Used Yamaha A1M Trans Black Acoustic Electric Guitar,$344.99,"Boise, ID",Good
Used Yamaha Revstar RS320 Blue Solid Body Electric Guitar,$299.99,"Boise, ID",Good
Used Squier Bullet Stratocaster Hardtail Red Solid Body Electric Guitar,$149.99,"Lewisville, TX",Excellent
Used Epiphone BB King Lucille Black Hollow Body Electric Guitar,$599.99,"Scranton, PA",Great
Used Epiphone BB King Lucille Ebony Hollow Body Electric Guitar,$699.99,"Bridgeton, MO",Great
Used 1930s Stella Harmony Natural Acoustic Guitar,$199.99,"Fredericksburg, VA",Good
Used Martin 000RSGT Natural Acoustic Electric Guitar,$699.99,"Oklahoma City, OK",Great
Used Jackson X series Rhoads RRX24 purple metallic Solid Body Electric Guitar,$699.99,"North Attleboro, MA",Great
Vintage 1977 Takamine F-375s Natural Acoustic Guitar,$799.99,"Columbia, SC",Good
Vintage 1964 Silvertone 621 1964 2 Tone Sunburst Acoustic Guitar,$299.99,"Willowbrook, TX",Good
Used Cort SFX ENS Natural Acoustic Electric Guitar,$299.99,"Alpharetta, GA",Great
Used Busuyi Double Neck Blue Solid Body Electric Guitar,$399.99,"Canton, MI",Good
Used strandberg Boden Classic 6 Red Solid Body Electric Guitar,"$1,099.99","Canton, MI",Good
Used LAVA MUSIC me 3 space grey Acoustic Electric Guitar,$649.99,"Round Rock, TX",Excellent
Used Ibanez gio Gunmetal Gray Solid Body Electric Guitar,$129.99,"Johnson City, NY",Good
Used Epiphone Les Paul Special II Black Solid Body Electric Guitar,$159.99,"Springfield, NJ",Great
Used Squier Contemporary Stratocaster Black Solid Body Electric Guitar,$249.99,"Goodlettsville, TN",Good
Used Epiphone EL00 Pro Tobacco Burst Acoustic Electric Guitar,$279.99,"Appleton, WI",Great
Used Kramer striker hss Purple Solid Body Electric Guitar,$239.99,"North Attleboro, MA",Great
Used Squier Stratocaster HSS Seafoam Green Solid Body Electric Guitar,$119.99,"Clearlake, TX",Good
Used Jackson USA MISHA MANSOOR JUGGERNAUT HT6FM AMBER TIGER EYE Solid Body Electric Guitar,"$2,799.99","Atlantic City, NJ",Excellent
Used Taylor 114E Natural Acoustic Electric Guitar,$524.99,"Columbia, SC",Good
Used Fender Special Edition Custom Telecaster FMT HH Trans Red Solid Body Electric Guitar,$549.99,"Virginia Beach, VA",Good
Used Ernie Ball Music Man JP15 John Petrucci Signature TRANSPARENT BLACK Solid Body Electric Guitar,"$2,449.99","Erie, PA",Great
Used Reverend Descent Black Solid Body Electric Guitar,$749.99,"Plano, TX",Great
Used Taylor 214CE Natural Acoustic Electric Guitar,$899.99,"Manchester, CT",Excellent
Used Gibson ADAM JONES STANDARD LES PAUL Silverburst Solid Body Electric Guitar,"$2,199.99","Cherry Hill, NJ",Good
Used Squier Classic Vibe Stratocaster Blonde Solid Body Electric Guitar,$339.99,"Athens, GA",Great
Used Taylor BT1E Baby Natural Acoustic Electric Guitar,$474.99,"Greenville, SC",Great
Used Harley Benton sc450c 3 Color Sunburst Solid Body Electric Guitar,$199.99,"Allen Park, MI",Good
Used Sterling by Music Man ALBERT LEE Sonic Blue Solid Body Electric Guitar,$299.99,"Plymouth Meeting, PA",Great
Used Martin 00015M Natural Acoustic Guitar,"$1,239.99","Cincinnati, OH",Great
Used Ibanez s1070 3 Color Sunburst Solid Body Electric Guitar,$929.99,"Overland Park, KS",Great
Used Eastman T386SB Sunburst Hollow Body Electric Guitar,"$1,099.99","Dayton, OH",Great
Used Epiphone EMILY WOLFE SHERATON WHITE Hollow Body Electric Guitar,$629.99,"N. Olmsted, OH",Excellent
Used ESP LTD EC256FM purple burst Solid Body Electric Guitar,$399.99,"Orange, CT",Excellent
Used PRS SE Custom 24 fireburst Solid Body Electric Guitar,$699.99,"Orange, CT",Excellent
Used Epiphone Les Paul Studio Wine Red Solid Body Electric Guitar,$429.99,"Orange, CT",Excellent
Used Ortega RCE238SN-FT-L 3 Color Sunburst Nylon String Acoustic Guitar,$499.99,"San Antonio, TX",Great
Used Fender Player Telecaster HH Seafoam Green Solid Body Electric Guitar,$629.99,"Winston-Salem, NC",Great
Used Fender American Ultra Stratocaster Ultraburst Solid Body Electric Guitar,"$1,549.99","Winston-Salem, NC",Great
Used Yamaha LS6 Natural Acoustic Guitar,$359.99,"Warwick, RI",Excellent
Used Epiphone HUMMINGBIRF EC STUDIO 2 Color Sunburst Acoustic Electric Guitar,$249.99,"Millbury, MA",Great
Vintage 1999 PRS McCarty 10 Top Moons McCarty Sunburst Solid Body Electric Guitar,"$1,999.99","Cincinnati, OH",Good
Used 2018 G&L ASAT Classic USA Emerald Green Solid Body Electric Guitar,"$1,199.99","Fairfax, VA",Excellent
Used Ibanez GRG120GASP trans blue gradiation Solid Body Electric Guitar,$219.99,"North Attleboro, MA",Excellent
Used Ibanez GRX70QA Trans violet burst Solid Body Electric Guitar,$169.99,"North Attleboro, MA",Great
Used Ibanez GRX70QA black sunburst Solid Body Electric Guitar,$169.99,"North Attleboro, MA",Great
Used Epiphone Chet Atkins Natural Acoustic Guitar,$599.99,"Virginia Beach, VA",Great
Vintage 1960s Regal R273 brown burst Hollow Body Electric Guitar,"$1,199.99","Tallahassee, FL",Good
Used Charvel DK24 PRO-MOD SATIN ORANGE Solid Body Electric Guitar,$699.99,"Towson, MD",Great
Used Gibson Slash Les Paul Standard '50s Anaconda Burst Solid Body Electric Guitar,"$2,199.99","Springfield, NJ",Great
Used Martin 00015SM Natural Acoustic Guitar,"$1,199.99","Greensboro, NC",Good
Used Gretsch Guitars G5655TG SINGLE BARREL BURST Hollow Body Electric Guitar,$499.99,"Fairfax, VA",Excellent
Used Fender Classic Series '72 Telecaster Deluxe Black Solid Body Electric Guitar,$609.99,"Totowa, NJ",Great
Used ESP James Hetfield Iron Cross WHITE Solid Body Electric Guitar,$979.99,"Greensboro, NC",Great
Used PRS se custom 24 satin satin gold Solid Body Electric Guitar,$419.99,"Monroeville, PA",Good
Used Martin GPC Special X Mahogany Acoustic Electric Guitar,$479.99,"Scottsdale, AZ",Great
Used 2024 Fender Player II Coral Red Solid Body Electric Guitar,$669.99,"Atlantic City, NJ",Excellent
Used ESP LTD EC1000T CTM vintage gold satin Solid Body Electric Guitar,$889.99,"Scottsdale, AZ",Excellent
Used Gibson Songwriter Mystic 2 Color Sunburst Acoustic Guitar,"$2,999.99","North Charlotte, NC",Great
Used Eastman AC122-1CEL Natural Acoustic Electric Guitar,$479.99,"Memphis, TN",Excellent
Used B.C. Rich Mockingbird STQ Trans Red Solid Body Electric Guitar,$699.99,"Dallas, TX",Fair
Used Schecter Guitar Research Hellraiser C1 Floyd Rose Black Cherry Solid Body Electric Guitar,$799.99,"Mesquite, TX",Great
Used Ibanez S561 Mauve Solid Body Electric Guitar,$249.99,"Orange, CT",Good
Used Fender Player Stratocaster HSH 2 Color Sunburst Solid Body Electric Guitar,$599.99,"Oklahoma City, OK",Great
Used Squier Telecaster Yellow Solid Body Electric Guitar,$184.99,"Bridgeton, MO",Great
Used PRS SE EG Alpine White Solid Body Electric Guitar,$449.99,"Kennesaw, GA",Good
Used Harley Benton JA60 Pink Solid Body Electric Guitar,$249.99,"Cincinnati, OH",Great
Used Epiphone ES335 Cherry Hollow Body Electric Guitar,$429.99,"Lewisville, TX",Great
Used Epiphone Extura Prophecy BLACK AGED GLOSS Solid Body Electric Guitar,$759.99,"Marietta, GA",Excellent
Used Yamaha FG400A Natural Acoustic Guitar,$324.99,"Towson, MD",Good
Used ESP LTD EX401 WHITE Solid Body Electric Guitar,$539.99,"Crestwood, MO",Good
Used Ibanez RG421PB GREEN BURL Solid Body Electric Guitar,$249.99,"Greensboro, NC",Great
Used Emerald X10 w\ Hyfigh RED  Acoustic Guitar,"$2,499.99","Avondale, AZ",Great
Used Epiphone Les Paul Custom Vintage White Solid Body Electric Guitar,$499.99,"Manchester, CT",Great
Used Gretsch Guitars Streamliner G2420 Aged Brooklyn Burst Hollow Body Electric Guitar,$349.99,"Toledo, OH",Great
Used D'Angelico DAPEXL Mocha Hollow Body Electric Guitar,$649.99,"Warwick, RI",Great
Used 2023 Kiesel Osiris Raw tone Solid Body Electric Guitar,"$1,599.99","Willowbrook, TX",Great
Used Glen Burton Single Cut Cherry Sunburst Solid Body Electric Guitar,$199.99,"Richmond, VA",Good
Used Ibanez RG450DXB Classic White Solid Body Electric Guitar,$364.99,"Plymouth Meeting, PA",Good
Used Fender vintera ii stratocaster Blue Solid Body Electric Guitar,$649.99,"Nashville, TN",Good
Used Schecter Guitar Research OMEN ELITE 7 MULTISCALE Blue Burst Solid Body Electric Guitar,$499.99,"Oklahoma City, OK",Good
Used Jackson X Series DKAF7 Black Solid Body Electric Guitar,$389.99,"Mesquite, TX",Good
Used Gretsch Guitars G5425 Electromatic Jet Club Silver Solid Body Electric Guitar,$259.99,"Little Rock, AR",Great
Used B.C. Rich JRV-7 7-String TRANSPARENT PURPLE Solid Body Electric Guitar,"$1,224.99","Plymouth Meeting, PA",Good
Used Gretsch Guitars G5420T Electromatic Black Hollow Body Electric Guitar,$529.99,"Scottsdale, AZ",Good
Used Schecter Guitar Research C1 Platinum FR Crimson Red Burst Solid Body Electric Guitar,$499.99,"Towson, MD",Good
Used 2017 Gibson Explorer HP Heritage Cherry Solid Body Electric Guitar,"$1,599.99","Norman, OK",Great
Used Yamaha FG800 Sandburst Acoustic Guitar,$179.99,"South Austin, TX",Good
Used Washburn WD10SCE712 Natural 12 String Acoustic Electric Guitar,$319.99,"Hickory Corners, NC",Great
Used Fender PLAYER II STRATOCASTER Black Solid Body Electric Guitar,$624.99,"Overland Park, KS",Great
Used Fender Richie Kotzen Telecaster BURST Solid Body Electric Guitar,"$1,299.99","Overland Park, KS",Great
Vintage 1966 Mosrite CELEBRITY Cherry Hollow Body Electric Guitar,"$1,399.99","Youngstown, OH",Good
Used Ibanez AEF18E 2 Color Sunburst Acoustic Electric Guitar,$149.99,"South Springfield, MO",Good
Used Fender Vintera 70s Telecaster Deluxe 2 Color Sunburst Solid Body Electric Guitar,$769.99,"Boise, ID",Great
Used Esteban AL 100 BLACK Acoustic Electric Guitar,$129.99,"Oklahoma City, OK",Good
Used Gretsch Guitars G5220 Electromatic Jade Grey Hollow Body Electric Guitar,$399.99,"Round Rock, TX",Excellent
Used Chc Guitars T Style Custom Black Solid Body Electric Guitar,$599.99,"Round Rock, TX",Good
Used Alvarez AF30CE Natural Acoustic Electric Guitar,$179.99,"Spartanburg, SC",Great
Used Donner hush-i pro White Acoustic Electric Guitar,$299.99,"Richmond, VA",Great
Used Ibanez PF10TR Red Acoustic Guitar,$119.99,"Alpharetta, GA",Good
Used Yamaha SLG110N Natural Classical Acoustic Electric Guitar,$449.99,"Central Dallas, TX",Great
Used Cort Aj881ts 2 Tone Sunburst Acoustic Guitar,$149.99,"N. Olmsted, OH",Fair
Used Rw Jameson RW JAMESON NATURAL Acoustic Guitar,$79.99,"Tyler, TX",Good
Used Rw Jameson RW JAMESON Pink Acoustic Electric Guitar,$79.99,"Tyler, TX",Great
Used 2018 Fender Player Stratocaster HSS RED Solid Body Electric Guitar,$549.99,"Beaumont, TX",Good
Used Fender 1963 Journeyman Relic Stratocaster Sonic Blue Solid Body Electric Guitar,"$3,499.99","South Springfield, MO",Excellent
Used Friedman VINTAGE T Butterscotch Solid Body Electric Guitar,"$2,300.99","South Springfield, MO",Excellent
Used Taylor BT1 Baby Left Handed Natural Acoustic Guitar,$324.99,"Boise, ID",Great
Used Ibanez RG2610E Black Solid Body Electric Guitar,"$1,299.99","Oklahoma City, OK",Great
Used 2023 Fender Made in Japan Limited International Color Stratocaster Morocco Red Solid Body Electric Guitar,"$1,049.99","Norman, OK",Excellent
Used Johnson Double Cut TUNGSTEN Solid Body Electric Guitar,$119.99,"New Braunfels, TX",Good
Used 1990s Hamer SPECIAL TV YELLOW Solid Body Electric Guitar,"$1,299.99","Twin Cities, MN",Good
Used Ibanez S470DXQM CHARCOAL BROWN Solid Body Electric Guitar,$499.99,"Twin Cities, MN",Great
Used Ibanez S470DXQM VIKING RED Solid Body Electric Guitar,$499.99,"Twin Cities, MN",Great
Vintage 1978 Ibanez 2671S Professional Natural Solid Body Electric Guitar,"$1,899.99","Boise, ID",Great
Used Guild STARFIRE VI Black and Yellow Hollow Body Electric Guitar,"$1,249.99","Winston-Salem, NC",Great
Vintage 1970 Martin D28 Worn Natural Acoustic Guitar,"$2,099.99","Cool Springs, TN",Fair
Used Martin Standard 00-28 Natural Acoustic Guitar,"$2,199.99","Cool Springs, TN",Fair
Used Traveler Guitar Ultra Light Natural Acoustic Guitar,$199.99,"New Braunfels, TX",Great
Used Fender Chris Shiflett Telecaster Deluxe White Solid Body Electric Guitar,$849.99,"Scottsdale, AZ",Excellent
Used Fender American Standard Stratocaster Olympic White Solid Body Electric Guitar,"$1,199.99","Greenville, SC",Great
Used Fender Player Stratocaster HSS Sonic Blue Solid Body Electric Guitar,$599.99,"New Braunfels, TX",Great
Used Gibson Les Paul Deluxe Gold Top Solid Body Electric Guitar,"$2,199.99","Allentown, PA",Great
Used Fender Newporter Player Candy Apple Red Acoustic Electric Guitar,$119.99,"Nashville, TN",Good
Used Fender redondo lh black Acoustic Electric Guitar,$119.99,"Nashville, TN",Good
Used Epiphone PROPHECY  Green Solid Body Electric Guitar,$519.99,"Tulsa, OK",Great
Used Martin GPCPA1PLUS Natural Acoustic Electric Guitar,"$1,849.99","San Antonio, TX",Great
Used The Heritage H555 SUNBURST Solid Body Electric Guitar,"$2,900.99","Oklahoma City, OK",Great
Used ESP EDWARDS EX120D Black Solid Body Electric Guitar,"$1,224.99","Warwick, RI",Great
Used Veritas texas miracle 2 Tone Sunburst Solid Body Electric Guitar,"$1,399.99","Willowbrook, TX",Great
Vintage 1950s Gibson ES-125 Sunburst Hollow Body Electric Guitar,"$1,849.99","Youngstown, OH",Good
Used PRS S2 Custom 24 Fire Red Burst Solid Body Electric Guitar,"$1,149.99","Youngstown, OH",Great
Used Charvel Marco Sfogli Pro Mod SO Cal Style 1 HSS Trans Purple Solid Body Electric Guitar,"$1,199.99","Bridgeton, MO",Great
Used Epiphone Les Paul Plus Top Pro FX Desert Burst Solid Body Electric Guitar,$599.99,"Bridgeton, MO",Good
Used Takamine TF450GC Sante Fe NEX Natural Acoustic Electric Guitar,$799.99,"Scottsdale, AZ",Good
Used Ibanez JEMJR White Solid Body Electric Guitar,$399.99,"Scottsdale, AZ",Great
Used PRS Paul Allender Signature SE Trans Purple Solid Body Electric Guitar,$499.99,"Scottsdale, AZ",Good
Used Gretsch Guitars G2217 Streamliner Junior Jet Club Red Solid Body Electric Guitar,$249.99,"Scottsdale, AZ",Good
Used Fernandes Retrorocket Red Solid Body Electric Guitar,$59.99,"Scottsdale, AZ",Fair
Used ESP LTD TL6 Black Acoustic Electric Guitar,$349.99,"Scottsdale, AZ",Good
Used Epiphone Joe Pass Emperor II Natural Hollow Body Electric Guitar,$399.99,"Scottsdale, AZ",Good
Used Epiphone Sheraton II Pro Black Hollow Body Electric Guitar,$399.99,"Scottsdale, AZ",Fair
Used Kramer Striker 615ST Red Solid Body Electric Guitar,$399.99,"Scottsdale, AZ",Fair
Used Kramer Baretta FR404S Superstrat Blue Solid Body Electric Guitar,$399.99,"Scottsdale, AZ",Fair
Used Ibanez miKro GRGM21M White Solid Body Electric Guitar,$79.99,"Scottsdale, AZ",Fair
Used Epiphone Les Paul Prophecy Red Tiger Aged Gloss Solid Body Electric Guitar,$549.99,"Scottsdale, AZ",Good
Used 2013 Fender Standard Stratocaster Sunburst Solid Body Electric Guitar,$549.99,"Clearlake, TX",Great
Used ESP H308 8-String Black Solid Body Electric Guitar,$449.99,"Columbia, SC",Good
Used Ibanez RX20 Red Solid Body Electric Guitar,$350.99,"Columbia, SC",Great
Used Squier Classic Vibe 70s Telecaster Deluxe Sunburst Solid Body Electric Guitar,$304.99,"Cherry Hill, NJ",Good
Used Squier PARANORMAL JAZZMASTER XII Lake Placid Blue Solid Body Electric Guitar,$324.99,"Seven Corners, VA",Great
Used Gibson J-45 STANDARD Sunburst Acoustic Electric Guitar,"$2,149.99","Goodlettsville, TN",Great
Used Ernie Ball Music Man Axis Super Sport Quilt Top MACHA Solid Body Electric Guitar,"$2,799.99","Danbury, CT",Great
Used Mitchell D120 Black Acoustic Guitar,$69.99,"Austin, TX",Good
Used Gretsch Guitars g3161 Orange Hollow Body Electric Guitar,$699.99,"North Attleboro, MA",Excellent
Used Collings OM2H Left Handed Natural Acoustic Guitar,"$4,874.99","Towson, MD",Great
Used Wylde Audio THORAX TRANSPARENT BLACK BURST Solid Body Electric Guitar,"$1,049.99","Albany, NY",Great
Used Epiphone Les Paul Standard Pro Blue Burst Solid Body Electric Guitar,$404.99,"Chattanooga, TN",Good
Used ESP LTD EC1000T CTM Honey Burst Solid Body Electric Guitar,$899.99,"Allen Park, MI",Great
Used Fender Player II Mustang Hialeah Yellow Solid Body Electric Guitar,$649.99,"Fairfax, VA",Excellent
Used Yamaha FG730S Natural Acoustic Guitar,$269.99,"Manchester, CT",Great
Used PRS SE CE24 Standard Satin Charcoal Solid Body Electric Guitar,$389.99,"Tulsa, OK",Great
Used Fender Jimmy Page Dragon Art Telecaster Natural Solid Body Electric Guitar,"$1,099.99","Scranton, PA",Great
Used Ibanez RGA8QM Gray Solid Body Electric Guitar,$649.99,"Manchester, CT",Great
Used LM Products APOLLO S NATURAL Classical Acoustic Guitar,$429.99,"Orange, CT",Good
Used Merida TRAJAN T15 Natural Classical Acoustic Guitar,$229.99,"Orange, CT",Good
Used Merida TRAJAN T15 Natural Classical Acoustic Guitar,$229.99,"Orange, CT",Good
Used Merida TRAJAN T15SP Natural Classical Acoustic Guitar,$249.99,"Orange, CT",Good
Used Merida MILAGROS Natural Acoustic Electric Guitar,$369.99,"Orange, CT",Excellent
Used Merida TRAJAN T-5 Natural Classical Acoustic Guitar,$159.99,"Orange, CT",Good
Used Merida DIANA DC15SP Natural Classical Acoustic Guitar,$319.99,"Orange, CT",Great
Used Merida TRAJAN T-5 Natural Classical Acoustic Guitar,$159.99,"Orange, CT",Great
Used 2023 Fender Player Plus Telecaster 2 Color Sunburst Solid Body Electric Guitar,$689.99,"Jackson, MS",Good
Used Yamaha FG331 Natural Acoustic Guitar,$149.99,"Twin Cities, MN",Good
Used Cordoba Solista CD/IN Natural Classical Acoustic Guitar,$699.99,"Houston, TX",Excellent
Used Johnson JG610 Natural Acoustic Guitar,$99.99,"Warwick, RI",Good
Used Greg Bennett Design by Samick 0M5 Natural Acoustic Guitar,$149.99,"Allentown, PA",Great
Used Fender American Special Telecaster Lake Placid Blue Solid Body Electric Guitar,$949.99,"Norman, OK",Great
Used Seagull S6 SLIM Natural Acoustic Guitar,$289.99,"San Antonio, TX",Good
Used 2000s Fender Standard Stratocaster Wine Red Solid Body Electric Guitar,$559.99,"Totowa, NJ",Great
Used Aio  Asg black Solid Body Electric Guitar,$299.99,"Millbury, MA",Great
Used Vintage V6 ICON BABY BLUE Solid Body Electric Guitar,$499.99,"Plano, TX",Great
Used Schecter Guitar Research PT Fastback Sunburst Solid Body Electric Guitar,$449.99,"Little Rock, AR",Good
Used ESP LTD EC100QM Sunburst Solid Body Electric Guitar,$249.99,"Allentown, PA",Excellent
Used PRS Mark Tremonti Signature SE BLACK  Solid Body Electric Guitar,$549.99,"South Springfield, MO",Great
Used Gibson les paul standard 60s plain top classic white Solid Body Electric Guitar,"$1,699.99","Hickory Corners, NC",Great
Used Martin 000X1AE Natural Acoustic Electric Guitar,$499.99,"Cherry Hill, NJ",Great
Used Fender Player Stratocaster Polar White Solid Body Electric Guitar,$549.99,"Portsmouth, NH",Good
Used Schecter Guitar Research Damien Platinum Satin Black Solid Body Electric Guitar,$449.99,"Bridgeton, MO",Good
Used Rickenbacker 330 Fireglo Hollow Body Electric Guitar,"$1,799.99","Toledo, OH",Great
Used Squier Classic Vibe '70s Stratocaster HSS Walnut Solid Body Electric Guitar,$369.99,"Allentown, PA",Excellent
Used Alvarez AG610CEAR Natural Acoustic Electric Guitar,$349.99,"Birmingham, AL",Great
Used Fender Player Plus Stratocaster Olympic Pearl Solid Body Electric Guitar,$649.99,"Birmingham, AL",Great
Used Schecter Nick Johnston Signature HSS Orange Solid Body Electric Guitar,$599.99,"Toledo, OH",Good
Used Ibanez RG652AHMFX GREEN Solid Body Electric Guitar,$999.99,"Oklahoma City, OK",Great
Used Fender Player Stratocaster Surf Green Solid Body Electric Guitar,$589.99,"San Antonio, TX",Great
Used Epiphone FLYING V DRAB OLIVE GREEN Solid Body Electric Guitar,$549.99,"Greensboro, NC",Great
Used Yamaha FS800 Sandburst Acoustic Guitar,$174.99,"Clearlake, TX",Great
Used 2008 PRS Mira Ebony Solid Body Electric Guitar,"$1,299.99","Bridgeton, MO",Great
Used Corbin t style thinline sunburst Hollow Body Electric Guitar,$169.99,"Florence, KY",Good
Used Ibanez AE340 Tobacco Burst Acoustic Guitar,$649.99,"Lewisville, TX",Good
Used G&L Tribute Legacy Shell Pink Solid Body Electric Guitar,$394.99,"Hobart, IN",Great
Used Eastwood Sidejack Baritone Yellow Baritone Guitars,$674.99,"Greenville, SC",Great
Used Gibson LES PAUL TRIBUTE Honey Burst Solid Body Electric Guitar,$999.99,"Greenville, SC",Great
Used Ibanez RGA42EX Trans Purple Solid Body Electric Guitar,$299.99,"Fayetteville NC, NC",Good
Used Pacifica PAC612VIIFM Trans Blue Solid Body Electric Guitar,$434.99,"Cedar Hill, TX",Good
Used Epiphone Inspired by Gibson Les Paul Custom Alpine White Solid Body Electric Guitar,$949.99,"Richmond, VA",Great
Used 2010s Ibanez RG655 Prestige Cobalt Blue Metallic Solid Body Electric Guitar,$999.99,"Fayetteville, GA",Great
Used Taylor 110E Natural Acoustic Electric Guitar,$399.99,"Pineville, NC",Great
Vintage 1999 Gibson 61 sg maestro Heritage Cherry Solid Body Electric Guitar,"$1,999.99","Orange, CT",Excellent
Used Ibanez AEG18 2 Color Sunburst Acoustic Electric Guitar,$199.99,"Fairfax, VA",Great
Used Squier Affinity Stratocaster 2 Tone Sunburst Solid Body Electric Guitar,$149.99,"Fairfax, VA",Great
Used PRS Zach Myers Signature SE myers blue Solid Body Electric Guitar,$674.99,"Springfield, NJ",Excellent
Used Taylor 114CE Natural Acoustic Electric Guitar,$744.99,"Springfield, NJ",Excellent
Used 2024 Martin 00028EC Eric Clapton Signature Vintage Sunburst Acoustic Guitar,"$2,979.99","Marietta, GA",Great
Used PRS SE Paul's Guitar Blue Burst Solid Body Electric Guitar,$649.99,"Cary, NC",Great
Used PRS Carlos Santana Signature SE QUILTED AMBER Solid Body Electric Guitar,$519.99,"Appleton, WI",Great
Used Epiphone Korina 1958 Explorer Natural Solid Body Electric Guitar,$799.99,"Atlantic City, NJ",Great
Used Ibanez GRGR120EX Jewel Blue Solid Body Electric Guitar,$149.99,"Scottsdale, AZ",Great
Used Peavey Cropper Classic Metallic Orange Solid Body Electric Guitar,"$1,399.99","Overland Park, KS",Great
Used Gibson ES345 Cherry Hollow Body Electric Guitar,"$3,289.99","Memphis, TN",Excellent
Used 2021 Charvel Angel Vivaldi Signature Pro-Mod LUCERENE AQUA FIREMIST Solid Body Electric Guitar,$749.99,"Dallas, TX",Good
Used Jericho Solo Stove S-1 Tobacco Sunburst Acoustic Electric Guitar,$899.99,"Lewisville, TX",Great
Used Epiphone Les Paul Custom Appetite for Destruction Solid Body Electric Guitar,$619.99,"Birmingham, AL",Excellent
Used Squier Contemporary Jaguar HH ST Shoreline Gold Solid Body Electric Guitar,$324.99,"San Antonio, TX",Great
Used Tagima TW Series 500 Purple Solid Body Electric Guitar,$189.99,"Tulsa, OK",Good
Used Martin D15M Natural Acoustic Guitar,"$1,089.99","Raleigh, NC",Great
Used G&L Tribute ASAT Classic Teal Solid Body Electric Guitar,$379.99,"Columbia, SC",Good
Used Epiphone Les Paul Traditional Pro Wine Red Solid Body Electric Guitar,$354.99,"Columbia, SC",Good
Used Schecter Guitar Research Hellraiser C1 Floyd Rose Black Cherry Solid Body Electric Guitar,$649.99,"Columbia, SC",Good
Used Fender Malibu player 2 Color Sunburst Acoustic Electric Guitar,$249.99,"Clearlake, TX",Good
Used D'Angelico Premier Lexington LS Mahogany Acoustic Guitar,$299.99,"Lewisville, TX",Fair
Used Ibanez SA160 Mahogany Solid Body Electric Guitar,$249.99,"Orange, CT",Good
Used ESP ESP LTD JR-7  Quilt Fade Blue Sunburst Solid Body Electric Guitar,"$1,349.99","Braintree, MA",Great
Used Jackson JS22 Dinky Black Solid Body Electric Guitar,$164.99,"N. Olmsted, OH",Great
Used Fender Player Stratocaster 2 Color Sunburst Solid Body Electric Guitar,$649.99,"N. Olmsted, OH",Great
Used Ibanez Single Cut LP Style Black and Silver Solid Body Electric Guitar,$249.99,"Myrtle Beach, SC",Good
Used D'Angelico EXL-1 Natural Hollow Body Electric Guitar,$999.99,"Maple Grove, MN",Great
Used Schecter Guitar Research PT SPECIAL 2 Color Sunburst Solid Body Electric Guitar,$469.99,"South Springfield, MO",Good
Used 2023 PRS SE McCarty 594 Sunburst Solid Body Electric Guitar,$649.99,"Richmond, VA",Good
Used Ibanez SGT120 Sage Series Sunburst Acoustic Guitar,$159.99,"Cherry Hill, NJ",Great
Used PRS A40E Natural Acoustic Electric Guitar,$689.99,"Cherry Hill, NJ",Great
Used Ibanez GRG121EX Black Solid Body Electric Guitar,$149.99,"N. Olmsted, OH",Good
Used Hohner MR800 Trans Green Solid Body Electric Guitar,$169.99,"Woodlands, TX",Good
Used Takamine GC1-NAT Natural Classical Acoustic Guitar,$179.99,"Greenville, SC",Fair
